Make,Type,Price,Region,Gear_Type,Origin,Options,Engine_Size,Mileage,Negotiable,CarAge
Škoda,Superb,9.615805480084347,Riyadh,0,Other,Semi Full,1.8,200000,0,18
Škoda,Superb,9.615805480084347,Riyadh,1,Other,Semi Full,1.8,200000,0,18
Aston Martin,DB9,12.100712129872347,Dammam,0,Saudi,Full,6.0,71000,0,16
Aston Martin,DB9,12.100712129872347,Dammam,1,Saudi,Full,6.0,71000,0,16
Aston Martin,Vanquish,12.89921982609012,Dammam,0,Saudi,Full,6.0,32000,0,13
Aston Martin,Vanquish,12.89921982609012,Dammam,1,Saudi,Full,6.0,32000,0,13
Aston Martin,Vantage,13.217673557208654,Dammam,0,Saudi,Full,6.0,880,0,14
Audi,A3,11.56171562913966,Jeddah,0,Saudi,Semi Full,1.4,6000,0,6
Audi,A3,11.56171562913966,Jeddah,1,Saudi,Semi Full,1.4,6000,0,6
Audi,A3,11.156250521031495,Jeddah,0,Saudi,Full,1.4,59000,0,10
Audi,A3,11.156250521031495,Jeddah,1,Saudi,Full,1.4,59000,0,10
Audi,A3,11.149082031552883,Riyadh,0,Saudi,Semi Full,1.4,70278,0,10
Audi,A3,11.149082031552883,Riyadh,1,Saudi,Semi Full,1.4,70278,0,10
Audi,A3,11.127262984158243,Riyadh,1,Saudi,Semi Full,2.0,70000,0,10
Audi,A3,11.127262984158243,Riyadh,1,Saudi,Semi Full,2.0,70000,0,10
Audi,A4,10.714417768752456,Riyadh,1,Gulf Arabic,Full,2.0,250000,0,13
Audi,A4,10.203592144986466,Jeddah,0,Gulf Arabic,Full,1.8,223000,0,17
Audi,A4,10.203592144986466,Jeddah,1,Gulf Arabic,Full,1.8,223000,0,17
Audi,A4,10.404262840448617,Dammam,1,Gulf Arabic,Full,2.0,324000,1,12
Audi,A4,10.404262840448617,Dammam,1,Gulf Arabic,Full,2.0,324000,1,12
Audi,A5,11.289781913656018,Riyadh,1,Saudi,Full,2.0,108000,0,10
Audi,A5,11.289781913656018,Riyadh,1,Saudi,Full,2.0,108000,0,10
Audi,A5,10.596634733096073,Al-Medina,0,Saudi,Full,2.1,218000,0,15
Audi,A5,10.596634733096073,Al-Medina,1,Saudi,Full,2.1,218000,0,15
Audi,A6,12.409013489526863,Dammam,1,Other,Full,2.0,1800,0,5
Audi,A6,12.345834587905333,Makkah,1,Saudi,Semi Full,2.0,5000,0,5
Audi,A6,11.407564949312402,Jeddah,1,Saudi,Full,3.0,77000,0,10
Audi,A6,11.407564949312402,Jeddah,1,Saudi,Full,3.0,77000,0,10
Audi,A6,11.385092093460344,Al-Medina,1,Saudi,Semi Full,3.0,92000,0,8
Audi,A6,11.385092093460344,Al-Medina,1,Saudi,Semi Full,3.0,92000,0,8
Audi,A6,11.350406535472453,Jeddah,0,Saudi,Full,3.5,79000,0,12
Audi,A6,11.350406535472453,Jeddah,1,Saudi,Full,3.5,79000,0,12
Audi,A6,11.225243392518447,Riyadh,1,Saudi,Full,3.0,77000,0,11
Audi,A6,11.177452728682098,Riyadh,1,Saudi,Semi Full,3.0,74924,0,13
Audi,A6,11.177452728682098,Riyadh,1,Saudi,Semi Full,3.0,74924,0,13
Audi,A6,11.156250521031495,Riyadh,0,Saudi,Semi Full,3.0,75000,0,13
Audi,A6,11.156250521031495,Riyadh,1,Saudi,Semi Full,3.0,75000,0,13
Audi,A6,11.557305920650961,Al-Medina,1,Gulf Arabic,Full,2.3,120000,1,11
Audi,A6,11.557305920650961,Riyadh,1,Saudi,Full,5.0,94000,1,10
Audi,A6,11.557305920650961,Al-Medina,1,Gulf Arabic,Full,2.3,120000,1,11
Audi,A6,11.557305920650961,Riyadh,1,Saudi,Semi Full,2.4,312000,1,18
Audi,A6,11.557305920650961,Riyadh,1,Saudi,Full,3.0,30000,1,10
Audi,A7,11.813030057420567,Makkah,0,Saudi,Full,2.0,127000,0,9
Audi,A7,11.813030057420567,Makkah,1,Saudi,Full,2.0,127000,0,9
Audi,A7,11.736069016284437,Dammam,0,Saudi,Full,3.0,130000,0,10
Audi,A7,11.736069016284437,Dammam,1,Saudi,Full,3.0,130000,0,10
Audi,A7,11.77528972943772,Riyadh,1,Saudi,Full,2.8,182000,1,12
Audi,A7,11.77528972943772,Riyadh,1,Saudi,Full,2.8,182000,1,12
Audi,A8,12.691580461311874,Dammam,1,Saudi,Full,3.0,41000,0,7
Audi,A8,12.691580461311874,Dammam,1,Saudi,Full,3.0,41000,0,7
Audi,A8,12.66032791780777,Dammam,1,Gulf Arabic,Full,3.0,68800,0,8
Audi,A8,12.66032791780777,Dammam,1,Gulf Arabic,Full,3.0,68800,0,8
Audi,A8,12.644327576461329,Dammam,1,Gulf Arabic,Full,3.0,44500,0,8
Audi,A8,12.100712129872347,Makkah,0,Saudi,Full,3.0,85000,0,11
Audi,A8,12.100712129872347,Makkah,1,Saudi,Full,3.0,85000,0,11
Audi,A8,12.013700752882718,Dammam,1,Saudi,Full,3.0,42000,0,10
Audi,A8,12.013700752882718,Dammam,1,Saudi,Full,3.0,42000,0,10
Audi,A8,11.608235644774552,Riyadh,1,Other,Full,3.0,9400,0,11
Audi,A8,11.608235644774552,Riyadh,1,Other,Full,3.0,9400,0,11
Audi,A8,11.589886506106357,Riyadh,1,Other,Full,4.0,100000,0,13
Audi,A8,11.589886506106357,Riyadh,1,Other,Full,4.0,100000,0,13
Audi,A8,11.418614785498987,Riyadh,1,Saudi,Full,3.0,130,0,13
Audi,A8,11.407564949312402,Riyadh,1,Saudi,Semi Full,3.0,160,0,12
Audi,A8,11.350406535472453,Jeddah,0,Saudi,Full,3.0,134000,0,13
Audi,A8,11.350406535472453,Jeddah,1,Saudi,Full,3.0,134000,0,13
Audi,A8,9.852194258148577,Dammam,1,Saudi,Full,3.2,180000,0,19
Audi,A8,12.05201196165316,Riyadh,0,Saudi,Semi Full,3.0,137000,1,11
Audi,A8,12.05201196165316,Riyadh,0,Gulf Arabic,Semi Full,3.0,125000,1,10
Audi,A8,12.05201196165316,Riyadh,0,Saudi,Full,5.0,56000,1,11
Audi,A8,12.05201196165316,Riyadh,0,Saudi,Full,3.0,175,1,12
Audi,A8,12.05201196165316,Riyadh,1,Other,Full,3.0,68000,1,14
Audi,A8,12.05201196165316,Dammam,1,Saudi,Full,6.3,62000,1,10
Audi,A8,12.05201196165316,Riyadh,1,Saudi,Full,3.0,172678,1,13
Audi,A8,12.05201196165316,Riyadh,1,Saudi,Full,3.0,175,1,12
Audi,A8,12.05201196165316,Dammam,1,Saudi,Full,6.3,62000,1,10
Audi,A8,12.05201196165316,Riyadh,1,Saudi,Full,3.0,172678,1,13
Audi,A8,12.05201196165316,Riyadh,1,Saudi,Semi Full,3.0,137000,1,11
Audi,A8,12.05201196165316,Riyadh,1,Saudi,Full,5.0,56000,1,11
Audi,A8,12.05201196165316,Riyadh,1,Gulf Arabic,Full,3.0,199,1,15
Audi,A8,12.05201196165316,Riyadh,1,Other,Full,3.0,68000,1,14
Audi,A8,12.05201196165316,Riyadh,1,Gulf Arabic,Semi Full,3.0,125000,1,10
Audi,Q5,12.007621706806335,Riyadh,1,Saudi,Full,2.0,71000,0,8
Audi,Q5,11.951180395901384,Dammam,1,Saudi,Full,2.0,60000,0,8
Audi,Q5,11.856515169360305,Jeddah,1,Saudi,Semi Full,2.0,17859,0,8
Audi,Q5,11.856515169360305,Jeddah,1,Saudi,Semi Full,2.0,17859,0,8
Audi,Q5,11.835008964139341,Jeddah,0,Saudi,Standard,2.5,17000,0,8
Audi,Q5,11.835008964139341,Jeddah,1,Saudi,Standard,2.5,17000,0,8
Audi,Q5,10.341742483467284,Jeddah,0,Saudi,Full,2.0,339,0,14
Audi,Q5,10.341742483467284,Jeddah,1,Saudi,Full,2.0,339,0,14
Audi,Q5,11.673129216510564,Jeddah,0,Saudi,Full,2.0,120000,1,16
Audi,Q5,11.673129216510564,Jeddah,1,Saudi,Full,2.0,120000,1,16
Audi,Q7,10.819778284410283,Riyadh,1,Saudi,Full,7.0,180000,0,19
Audi,Q7,10.819778284410283,Riyadh,1,Saudi,Full,7.0,180000,0,19
Audi,S5,11.982929094215963,Dammam,1,Saudi,Full,3.0,79800,0,8
Audi,S5,11.982929094215963,Dammam,1,Saudi,Full,3.0,79800,0,8
Audi,S8,12.341477282536376,Dammam,1,Gulf Arabic,Full,4.0,42000,0,10
Audi,S8,12.341477282536376,Dammam,1,Gulf Arabic,Full,4.0,42000,0,10
Bentley,Arnage,13.557387287754038,Jeddah,1,Saudi,Standard,1.0,300,0,6
Bentley,Bentayga,13.652991628466498,Dammam,1,Saudi,Full,6.0,13000,0,7
Bentley,Bentayga,13.652991628466498,Dammam,1,Saudi,Full,6.0,13000,0,7
Bentley,Flying Spur,12.706847933442663,Dammam,1,Saudi,Full,6.0,41000,0,12
Bentley,Flying Spur,12.644327576461329,Dammam,1,Saudi,Full,6.0,47000,0,11
Bentley,Flying Spur,12.644327576461329,Dammam,1,Saudi,Full,6.0,47000,0,11
Bentley,Flying Spur,12.301382825334498,Makkah,0,Saudi,Full,6.0,49000,0,17
Bentley,Flying Spur,12.301382825334498,Makkah,1,Saudi,Full,6.0,49000,0,17
Bentley,Flying Spur,12.072541252905651,Dammam,0,Saudi,Full,5.0,58000,0,16
Bentley,Flying Spur,12.072541252905651,Dammam,1,Saudi,Full,5.0,58000,0,16
Bentley,Flying Spur,11.512925464970229,Jeddah,1,Saudi,Full,6.0,183000,0,15
BMW,The 3,12.100712129872347,Jeddah,1,Saudi,Semi Full,2.0,3500,0,5
BMW,The 3,11.407564949312402,Dammam,1,Saudi,Full,2.0,96000,0,8
BMW,The 3,11.407564949312402,Dammam,1,Saudi,Full,2.0,96000,0,8
BMW,The 3,11.225243392518447,Khobar,0,Saudi,Full,1.4,110000,0,9
BMW,The 3,11.225243392518447,Khobar,1,Saudi,Full,1.4,110000,0,9
BMW,The 3,11.002099841204238,Jeddah,0,Saudi,Full,2.0,84000,0,12
BMW,The 3,11.002099841204238,Jeddah,1,Saudi,Full,2.0,84000,0,12
BMW,The 3,10.714417768752456,Riyadh,0,Saudi,Semi Full,2.0,156000,0,13
BMW,The 3,10.714417768752456,Riyadh,1,Saudi,Semi Full,2.0,156000,0,13
BMW,The 3,10.46310334047155,Jeddah,0,Saudi,Full,2.5,74000,0,15
BMW,The 3,10.46310334047155,Jeddah,1,Saudi,Full,2.5,74000,0,15
BMW,The 3,11.18189041999606,Riyadh,0,Saudi,Full,2.0,110000,1,12
BMW,The 3,11.18189041999606,Riyadh,1,Saudi,Full,2.0,110000,1,12
BMW,The 4,11.747997587149712,Riyadh,1,Saudi,Semi Full,2.0,88335,0,11
BMW,The 4,11.747997587149712,Riyadh,1,Saudi,Semi Full,2.0,88335,0,11
BMW,The 4,11.695247021764184,Jeddah,1,Saudi,Full,2.0,110000,0,10
BMW,The 4,11.695247021764184,Jeddah,1,Saudi,Full,2.0,110000,0,10
BMW,The 4,11.608235644774552,Riyadh,1,Gulf Arabic,Full,2.0,122000,0,11
BMW,The 4,11.608235644774552,Riyadh,1,Gulf Arabic,Full,2.0,122000,0,11
BMW,The 4,11.685474425115356,Riyadh,0,Gulf Arabic,Full,2.0,45000,1,8
BMW,The 4,11.685474425115356,Riyadh,1,Gulf Arabic,Full,2.0,45000,1,8
BMW,The 5,12.301382825334498,Jeddah,1,Saudi,Full,2.0,40000,0,7
BMW,The 5,12.301382825334498,Jeddah,1,Saudi,Full,2.0,40000,0,7
BMW,The 5,12.083905011555967,Dammam,1,Gulf Arabic,Semi Full,1.9,7800,0,6
BMW,The 5,12.083905011555967,Dammam,1,Gulf Arabic,Semi Full,1.9,7800,0,6
BMW,The 5,11.918390573078392,Jeddah,0,Saudi,Semi Full,2.0,29900,0,7
BMW,The 5,11.918390573078392,Jeddah,1,Saudi,Semi Full,2.0,29900,0,7
BMW,The 5,11.884489021402711,Jubail,0,Gulf Arabic,Standard,2.0,16000,0,8
BMW,The 5,11.884489021402711,Jubail,1,Gulf Arabic,Standard,2.0,16000,0,8
BMW,The 5,11.84939770159144,Jeddah,0,Saudi,Standard,2.5,38000,0,7
BMW,The 5,11.84939770159144,Jeddah,1,Saudi,Standard,2.5,38000,0,7
BMW,The 5,11.835008964139341,Jeddah,0,Saudi,Standard,2.0,49528,0,7
BMW,The 5,11.835008964139341,Jeddah,1,Saudi,Standard,2.0,49528,0,7
BMW,The 5,11.407564949312402,Riyadh,1,Saudi,Semi Full,2.0,66000,0,10
BMW,The 5,11.350406535472453,Riyadh,1,Gulf Arabic,Full,2.0,105000,0,10
BMW,The 5,11.289781913656018,Jeddah,1,Saudi,Semi Full,2.0,89000,0,11
BMW,The 5,11.289781913656018,Jeddah,1,Saudi,Semi Full,2.0,89000,0,11
BMW,The 5,11.082142548877775,Riyadh,0,Saudi,Semi Full,3.0,276000,0,15
