Make,Type,Price,Region,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,CarAge
Škoda,Fabia,6000.0,Riyadh,0,Saudi,Standard,2007,1.2,219000,0,19
Škoda,Superb,15000.0,Riyadh,0,Other,Semi Full,2008,1.8,200000,0,18
Škoda,Superb,15000.0,Riyadh,1,Other,Semi Full,2008,1.8,200000,0,18
Aston Martin,DB9,180000.0,Dammam,0,Saudi,Full,2010,6.0,71000,0,16
Aston Martin,DB9,180000.0,Dammam,1,Saudi,Full,2010,6.0,71000,0,16
Aston Martin,Vanquish,400000.0,Dammam,0,Saudi,Full,2013,6.0,32000,0,13
Aston Martin,Vanquish,400000.0,Dammam,1,Saudi,Full,2013,6.0,32000,0,13
Aston Martin,Vantage,550000.0,Dammam,0,Saudi,Full,2012,6.0,880,0,14
Audi,A3,105000.0,Jeddah,0,Saudi,Semi Full,2020,1.4,6000,0,6
Audi,A3,105000.0,Jeddah,1,Saudi,Semi Full,2020,1.4,6000,0,6
Audi,A3,70000.0,Jeddah,0,Saudi,Full,2016,1.4,59000,0,10
Audi,A3,70000.0,Jeddah,1,Saudi,Full,2016,1.4,59000,0,10
Audi,A3,69500.0,Riyadh,0,Saudi,Semi Full,2016,1.4,70278,0,10
Audi,A3,69500.0,Riyadh,1,Saudi,Semi Full,2016,1.4,70278,0,10
Audi,A3,68000.0,Riyadh,1,Saudi,Semi Full,2016,2.0,70000,0,10
Audi,A3,68000.0,Riyadh,1,Saudi,Semi Full,2016,2.0,70000,0,10
Audi,A4,45000.0,Riyadh,1,Gulf Arabic,Full,2013,2.0,250000,0,13
Audi,A4,27000.0,Jeddah,0,Gulf Arabic,Full,2009,1.8,223000,0,17
Audi,A4,27000.0,Jeddah,1,Gulf Arabic,Full,2009,1.8,223000,0,17
Audi,A4,33000.0,Dammam,1,Gulf Arabic,Full,2014,2.0,324000,1,12
Audi,A4,33000.0,Dammam,1,Gulf Arabic,Full,2014,2.0,324000,1,12
Audi,A5,80000.0,Riyadh,1,Saudi,Full,2016,2.0,108000,0,10
Audi,A5,80000.0,Riyadh,1,Saudi,Full,2016,2.0,108000,0,10
Audi,A5,40000.0,Al-Medina,0,Saudi,Full,2011,2.1,218000,0,15
Audi,A5,40000.0,Al-Medina,1,Saudi,Full,2011,2.1,218000,0,15
Audi,A6,245000.0,Dammam,1,Other,Full,2021,2.0,1800,0,5
Audi,A6,230000.0,Makkah,1,Saudi,Semi Full,2021,2.0,5000,0,5
Audi,A6,90000.0,Jeddah,1,Saudi,Full,2016,3.0,77000,0,10
Audi,A6,90000.0,Jeddah,1,Saudi,Full,2016,3.0,77000,0,10
Audi,A6,88000.0,Al-Medina,1,Saudi,Semi Full,2018,3.0,92000,0,8
Audi,A6,88000.0,Al-Medina,1,Saudi,Semi Full,2018,3.0,92000,0,8
Audi,A6,85000.0,Jeddah,0,Saudi,Full,2014,3.5,79000,0,12
Audi,A6,85000.0,Jeddah,1,Saudi,Full,2014,3.5,79000,0,12
Audi,A6,75000.0,Riyadh,1,Saudi,Full,2015,3.0,77000,0,11
Audi,A6,71500.0,Riyadh,1,Saudi,Semi Full,2013,3.0,74924,0,13
Audi,A6,71500.0,Riyadh,1,Saudi,Semi Full,2013,3.0,74924,0,13
Audi,A6,70000.0,Riyadh,0,Saudi,Semi Full,2013,3.0,75000,0,13
Audi,A6,70000.0,Riyadh,1,Saudi,Semi Full,2013,3.0,75000,0,13
Audi,A6,104538.0,Al-Medina,1,Gulf Arabic,Full,2015,2.3,120000,1,11
Audi,A6,104538.0,Riyadh,1,Saudi,Full,2016,5.0,94000,1,10
Audi,A6,104538.0,Al-Medina,1,Gulf Arabic,Full,2015,2.3,120000,1,11
Audi,A6,104538.0,Riyadh,1,Saudi,Semi Full,2008,2.4,312000,1,18
Audi,A6,104538.0,Riyadh,1,Saudi,Full,2016,3.0,30000,1,10
Audi,A7,135000.0,Makkah,0,Saudi,Full,2017,2.0,127000,0,9
Audi,A7,135000.0,Makkah,1,Saudi,Full,2017,2.0,127000,0,9
Audi,A7,125000.0,Dammam,0,Saudi,Full,2016,3.0,130000,0,10
Audi,A7,125000.0,Dammam,1,Saudi,Full,2016,3.0,130000,0,10
Audi,A7,130000.0,Riyadh,1,Saudi,Full,2014,2.8,182000,1,12
Audi,A7,130000.0,Riyadh,1,Saudi,Full,2014,2.8,182000,1,12
Audi,A8,325000.0,Dammam,1,Saudi,Full,2019,3.0,41000,0,7
Audi,A8,325000.0,Dammam,1,Saudi,Full,2019,3.0,41000,0,7
Audi,A8,315000.0,Dammam,1,Gulf Arabic,Full,2018,3.0,68800,0,8
Audi,A8,315000.0,Dammam,1,Gulf Arabic,Full,2018,3.0,68800,0,8
Audi,A8,310000.0,Dammam,1,Gulf Arabic,Full,2018,3.0,44500,0,8
Audi,A8,180000.0,Makkah,0,Saudi,Full,2015,3.0,85000,0,11
Audi,A8,180000.0,Makkah,1,Saudi,Full,2015,3.0,85000,0,11
Audi,A8,165000.0,Dammam,1,Saudi,Full,2016,3.0,42000,0,10
Audi,A8,165000.0,Dammam,1,Saudi,Full,2016,3.0,42000,0,10
Audi,A8,110000.0,Riyadh,1,Other,Full,2015,3.0,9400,0,11
Audi,A8,110000.0,Riyadh,1,Other,Full,2015,3.0,9400,0,11
Audi,A8,108000.0,Riyadh,1,Other,Full,2013,4.0,100000,0,13
Audi,A8,108000.0,Riyadh,1,Other,Full,2013,4.0,100000,0,13
Audi,A8,91000.0,Riyadh,1,Saudi,Full,2013,3.0,130,0,13
Audi,A8,90000.0,Riyadh,1,Saudi,Semi Full,2014,3.0,160,0,12
Audi,A8,85000.0,Jeddah,0,Saudi,Full,2013,3.0,134000,0,13
Audi,A8,85000.0,Jeddah,1,Saudi,Full,2013,3.0,134000,0,13
Audi,A8,19000.0,Dammam,1,Saudi,Full,2007,3.2,180000,0,19
Audi,A8,171444.0,Riyadh,0,Saudi,Semi Full,2015,3.0,137000,1,11
Audi,A8,171444.0,Riyadh,0,Gulf Arabic,Semi Full,2016,3.0,125000,1,10
Audi,A8,171444.0,Riyadh,0,Saudi,Full,2015,5.0,56000,1,11
Audi,A8,171444.0,Riyadh,0,Saudi,Full,2014,3.0,175,1,12
Audi,A8,171444.0,Riyadh,1,Other,Full,2012,3.0,68000,1,14
Audi,A8,171444.0,Dammam,1,Saudi,Full,2016,6.3,62000,1,10
Audi,A8,171444.0,Riyadh,1,Saudi,Full,2013,3.0,172678,1,13
Audi,A8,171444.0,Riyadh,1,Saudi,Full,2014,3.0,175,1,12
Audi,A8,171444.0,Dammam,1,Saudi,Full,2016,6.3,62000,1,10
Audi,A8,171444.0,Riyadh,1,Saudi,Full,2013,3.0,172678,1,13
Audi,A8,171444.0,Riyadh,1,Saudi,Semi Full,2015,3.0,137000,1,11
Audi,A8,171444.0,Riyadh,1,Saudi,Full,2015,5.0,56000,1,11
Audi,A8,171444.0,Riyadh,1,Gulf Arabic,Full,2011,3.0,199,1,15
Audi,A8,171444.0,Riyadh,1,Other,Full,2012,3.0,68000,1,14
Audi,A8,171444.0,Riyadh,1,Gulf Arabic,Semi Full,2016,3.0,125000,1,10
Audi,Q5,164000.0,Riyadh,1,Saudi,Full,2018,2.0,71000,0,8
Audi,Q5,155000.0,Dammam,1,Saudi,Full,2018,2.0,60000,0,8
Audi,Q5,141000.0,Jeddah,1,Saudi,Semi Full,2018,2.0,17859,0,8
Audi,Q5,141000.0,Jeddah,1,Saudi,Semi Full,2018,2.0,17859,0,8
Audi,Q5,138000.0,Jeddah,0,Saudi,Standard,2018,2.5,17000,0,8
Audi,Q5,138000.0,Jeddah,1,Saudi,Standard,2018,2.5,17000,0,8
Audi,Q5,31000.0,Jeddah,0,Saudi,Full,2012,2.0,339,0,14
Audi,Q5,31000.0,Jeddah,1,Saudi,Full,2012,2.0,339,0,14
Audi,Q5,117375.0,Jeddah,0,Saudi,Full,2010,2.0,120000,1,16
